Component,Manufacturer Part Number,Manufacturer1 Part Number,References,Quantity Per PCB,Part,Value,Footprint,SMD,Mounted,Part Description,Pin Count,Part Number,Val
13,CC0603_10uF_6.3V_20%_X5R,C0603C106M9PAC,C12 C13 C30 C33 C42 C47 C68 C69 C72 C75 C84 C87 C96 C99,14,CC0603_10UF_6.3V_20%_X5R,CC0603_10UF_6.3V_20%_X5R,CAPC1608X87N,Yes,Yes,SMD Multilayer Chip Ceramic Capacitor,2.0000000000000000e+00,CC0603_10UF_6.3V_20%_X5R,10uF
14,CC0603_22UF_6.3V_20%_X5R,C1608X5R0J226M080AC,C1 C22 C26 C27 C106 C111 C113 C118 C119 C120 C121 C132 C145 C146 C172 C222 C225 C280 C281 C282 C283,21,CC0603_22UF_6.3V_20%_X5R,CC0603_22UF_6.3V_20%_X5R,CAPC1709X100N,Yes,Yes,SMD Multilayer Chip Ceramic Capacitor,2.0000000000000000e+00,CC0603_22UF_6.3V_20%_X5R,22uF
15,CC0603_4.7UF_16V_10%_X5R,EMK107ABJ475KA-T,C57 C105 C127 C129 C139 C142 C143 C144 C159 C161 C162 C167 C168 C173 C195 C331 C343 C344 C347 C348 C349 C360 C361 C364 C373,25,CC0603_4.7UF_16V_10%_X5R,CC0603_4.7UF_16V_10%_X5R,CAPC1709X95N,Yes,Yes,SMD Multilayer Chip Ceramic Capacitor,2.0000000000000000e+00,CC0603_4.7UF_16V_10%_X5R,4.7uF
16,CC0805_22UF_16V_10%_X5R,GRM21BR61C226ME44L,C151 C153 C155 C157,4,CC0805_22UF_16V_10%_X5R,CC0805_22UF_16V_10%_X5R,CAPC2012X135N,Yes,Yes,SMD Multilayer Chip Ceramic Capacitor,2.0000000000000000e+00,CC0805_22UF_16V_10%_X5R,22uF
17,CC0805_4.7UF_10V_10%_X5R,222224013672,C103 C104 C233 C235 C237 C240 C241 C242 C243 C252 C253 C254 C255 C268 C270 C272 C274 C276 C278 C284 C285 C286 C287,23,CC0805_4.7UF_10V_10%_X5R,CC0805_4.7UF_10V_10%_X5R,CAPC2012X135N,Yes,Yes,SMD Multilayer Chip Ceramic Capacitor,2.0000000000000000e+00,CC0805_4.7UF_10V_10%_X5R,4.7uF
18,CC0805_47UF_6.3V_20%_X5R,C0805C476M9PACTU,C152 C154 C156 C158 C160 C194 C330 C340 C341 C345 C346,11,CC0805_47UF_6.3V_20%_X5R,CC0805_47UF_6.3V_20%_X5R,CAPC2012X140N,Yes,Yes,SMD Multilayer Chip Ceramic Capacitor,2.0000000000000000e+00,CC0805_47UF_6.3V_20%_X5R,47uF
19,CC1206_10uF_16V_10%_X7R,C1206C106K4RAC,C6 C62,2,CC1206_10UF_16V_10%_X7R,CC1206_10UF_16V_10%_X7R,CAPC3216X140N,Yes,Yes,SMD Multilayer Chip Ceramic Capacitor,2.0000000000000000e+00,CC1206_10UF_16V_10%_X7R,10uF
20,CC1206_47UF_25V_20%_X5R,C3216X5R1E476M160AC,C141,1,CC1206_47UF_25V_20%_X5R,CC1206_47UF_25V_20%_X5R,CAPC3216X180N,Yes,Yes,SMD Multilayer Chip Ceramic Capacitor,2.0000000000000000e+00,CC1206_47UF_25V_20%_X5R,47uF
21,CC1210_100UF_6.3V_20%_X5R,GRM32ER60J107ME20L,C2 C239 C265 C266,4,CC1210_100UF_6.3V_20%_X5R,CC1210_100UF_6.3V_20%_X5R,CAPC3225X270N,Yes,Yes,SMD Multilayer Chip Ceramic Capacitor,2.0000000000000000e+00,CC1210_100UF_6.3V_20%_X5R,100uF
22,B32529C6472J000,~~,C353 C354,2,CPER_4.7NF_400V_5%_500-250X720X650,CPER_4.7NF_400V_5%_500-250X720X650,CAPR500-250X720X650,No,Yes,Metallized Polyester Film Capacitor (MKT),2.0000000000000000e+00,CPER_4.7NF_400V_5%_500-250X720X650,4.7nF
23,2007132-1,,Cage1,1,TYCO_2007132-1,TYCO_2007132-1,TYCO_2007132-1,No,Yes,1x4 Press Fit Cage For Use with SFP+ Connector (Small Form-factor Pluggable),46,TYCO_2007132-1,
24,BAT165AX,,D2 D3 D5 D9 D14 D15 D16 D17 D18,9,BAT165,BAT165,SOD2512X110N,Yes,Yes,Medium Power AF Schottky Diode,2,BAT165,
25,HDMIULC6-4SC6,,D10 D11,2,HDMIULC6-4SC6-Diodes-AMC_FMC_Carrier-PcbDoc-rescue,HDMIULC6-4SC6,SOT95P280X145-6N,Yes,Yes,Ultra Large Bandwidth HDMI ESD (15kV) Protection,6,HDMIULC6-4SC6,
